Detail,Facility,Current Rating,Last Inspection Date,City,Address
FoodInspectDetail.aspx?id=FA0009657,CHEVRON STATION #92513,Good,1/16/2025,Santa Nella,12801 S HWY 33
FoodInspectDetail.aspx?id=FA0002762,Chicago's Pizza With a Twist,Good,8/16/2024,Livingston,1471 B St. Ste B
FoodInspectDetail.aspx?id=FA0010179,Chili's,Good,6/6/2023,Merced,1075 W. Olive Ave.
FoodInspectDetail.aspx?id=FA0005973,Chili's Grill and Bar,Good,6/26/2024,Los Banos,1905 E. Pacheco Blvd
FoodInspectDetail.aspx?id=FA0006634,China Caff,Satisfactory,5/7/2026,Merced,2840 G St.
FoodInspectDetail.aspx?id=FA0000884,China Garden Restaurant,Good,6/12/2023,Los Banos,829 W Pacheco Blvd
FoodInspectDetail.aspx?id=FA0005724,China House,Good,11/24/2025,Atwater,1440 Broadway Ave.
FoodInspectDetail.aspx?id=FA0005820,China No.1 Buffet,Satisfactory,3/6/2023,Los Banos,1313 E. Pacheco Blvd Ste A
FoodInspectDetail.aspx?id=FA0006221,Chinese Kitchen,Satisfactory,10/9/2024,Atwater,1851 Bellevue Road
FoodInspectDetail.aspx?id=FA0009813,Chipotle Mexican Grill #1954,Good,1/22/2024,Merced,3110 R St. Ste A
FoodInspectDetail.aspx?id=FA0009794,Chipotle Mexican Grill #3586,Good,2/15/2023,Los Banos,1420 E. Pacheco Blvd
FoodInspectDetail.aspx?id=FA0010319,Chipotle Mexican Grill #4840,Good,2/21/2025,Merced,3120 Campus Parkway
FoodInspectDetail.aspx?id=FA0005749,Christian Life Center,Satisfactory,8/17/2023,Merced,650 E. Olive Ave.
FoodInspectDetail.aspx?id=FA0007328,Cigarette & Cigars,Good,3/26/2025,Merced,3528 G St.
FoodInspectDetail.aspx?id=FA0008273,Cigarettes & Snacks,Good,12/11/2024,Merced,1242 W. Olive Ave.
FoodInspectDetail.aspx?id=FA0000675,Circle G Mini Mart,Good,6/6/2023,Merced,3250 N G St E
