Facility,Current Rating,Last Inspection Date,City,Address
La Casita Tortilla & Spice,Good,5/30/2024,Merced,770 W 14th St
La Finca Branding Iron,Good,11/6/2025,Merced,640 W. 16th St.
La Hacienda Mexican Grill,Good,6/25/2026,Merced,802 W. 16th St.
La Michoacana Fruit and Ice Cream Inc,Good,6/29/2026,Merced,332 W. Main St.
La Michoacana Paleteria Y Neveria LaJoya,Good,9/4/2024,Merced,540 W. Olive Ave.
La Michoacana San Miguel,Good,8/8/2023,Merced,1950 Yosemite Pkwy Ste. D
La Michoacana USA,Good,7/15/2024,Merced,1111 W. Olive Ave. Ste B
La Morenita Restaurant,Satisfactory,5/14/2024,Merced,1352 W. 13th St.
La Sierra Care Center,Good,2/28/2024,Merced,2424 M St
La Taqueria,Good,10/21/2024,Merced,61 W Main St
La tia Juana,Good,4/13/2026,Merced,425 W. Main St. Ste H
Lee's Community Food Market,Satisfactory,7/5/2023,Merced,37 E. 15th St.
Little Caesars Pizza,Good,11/16/2022,Merced,63 E 16th St
Little Caesars Pizza,Satisfactory,9/24/2025,Merced,3250 N. G St. Ste A
Little Oven Pizza,Good,11/20/2023,Merced,433 W. Main St.
Los Compas,Good,7/26/2024,Merced,1513 W. Main St.
Los Panchos Restaurant,Good,3/20/2024,Merced,2971 G St.
Lovers Deli,Good,1/9/2024,Merced,426 W. Main St.
Lowe's #1672,Satisfactory,11/30/2023,Merced,1750 W Olive Ave.
Luther Burbank School,Good,5/12/2026,Merced,609 E. Alexander Ave.
M & A Market,Good,5/23/2024,Merced,2980 Beachwood Dr
Main Jail Facility - Sheriff's Department,Good,3/26/2026,Merced,700 W 22nd St
Main Place Stadium Cinemas,Good,9/19/2024,Merced,403 W. Main St.
Main Street Market,Satisfactory,12/11/2023,Merced,211 W. Main St.
Mainzer Theater,Satisfactory,12/4/2024,Merced,655 W. Main St.
Major Golf Sports Center,Satisfactory,8/14/2024,Merced,3536 N. Santa Fe Dr.
Mango Tango,Satisfactory,5/29/2024,Merced,1794 W. Olive Ave. Ste C
Manley's Donuts,Good,5/15/2024,Merced,1730 R St.
Maria's Taco Shop #1,Satisfactory,9/24/2024,Merced,1750 R St
Marie's Mexican Kitchen,Satisfactory,9/19/2024,Merced,259 W. Main St.
Mario's Taco Shop #1,Good,10/18/2023,Merced,51 W. 16th St.
Mariscos El Nacho,Satisfactory,9/12/2024,Merced,1560 Yosemite Pkwy
Masala Express,Satisfactory,9/12/2024,Merced,560 W. Olive Ave.
McDonald's,Good,10/24/2023,Merced,3140 Campus Pkwy
McDonald's Restaurant,Satisfactory,11/27/2023,Merced,1060 W. 13th St.
McDonalds #10150,Good,3/21/2024,Merced,1821 Motel Dr.
McDonalds #1313,Good,6/2/2026,Merced,206 W Olive Ave.
MCOE (Merced County Office of Education) - Commissary,Good,4/30/2026,Merced,350 W. Yosemite Ave.
MCRM Senior Meals Program,Good,12/11/2024,Merced,851 W 23rd St.
McSwain Elementary School (East Campus),Good,3/20/2026,Merced,926 N. Scott Road
McSwain Elementary School (West Campus),Good,3/20/2026,Merced,785 N. Scott Road
Me-N-Ed's Merced,Good,3/26/2025,Merced,3524 G St.
Mel's Liquors,Satisfactory,7/10/2023,Merced,1220 V St.
Merced Community College District,Good,1/19/2024,Merced,3600 M St
Merced County Food Bank Warehouse,Good,1/17/2025,Merced,2000 W. Olive Ave.
Merced Ctr for the Performing Arts,Good,9/25/2024,Merced,452 W. Main St.
Merced Elks Park,Good,2/26/2026,Merced,3600 Wardrobe Ave.
Merced Emergency Shelter,Good,12/16/2024,Merced,317 E. 15th St.
Merced Food Center,Good,9/12/2024,Merced,1150 ML King Jr Way
Merced Fruit Barn,Good,9/5/2024,Merced,4526 E. Hwy 140
Merced Fuel & Food,Good,12/20/2023,Merced,190 W. Olive Ave
Merced Golf & Country Club,Good,3/4/2025,Merced,6333 N. Golf Road
Merced Grand Buffet,Satisfactory,7/8/2025,Merced,1121 W. Olive Ave.
Merced Indian Grocers,Good,4/13/2026,Merced,3368 N. Hwy 59 Ste M
Merced Inn and Suites,Good,3/25/2024,Merced,2010 E. Childs Ave.
Merced Liquor Grocery,Good,12/11/2023,Merced,550 E Main St
Merced Mall Chevron Food Mart,Good,12/16/2024,Merced,1050 W. Olive Ave.
Merced Mart,Satisfactory,5/14/2024,Merced,1411 V St.
Merced Navigation Center,Good,3/30/2026,Merced,1411 B St.
Merced Nursing & Rehabilitation,Good,2/28/2024,Merced,510 W. 26th St.
Merced Rescue Mission,Good,2/21/2025,Merced,129 Cone Ave.
Merced SNF Operations LLC,Good,5/8/2023,Merced,3170 M St
Merced Speedway - Grandstands Concession,Satisfactory,11/28/2023,Merced,900 Martin Luther King Jr Way
Merced Valley Food,Satisfactory,4/2/2026,Merced,1640 Yosemite Pkwy
Mercy Medical Center,Satisfactory,6/16/2026,Merced,333 Mercy Ave
Mimosas Cafe,Good,9/18/2024,Merced,731 E. Yosemite Ave. Ste D
Mission Gardens Congregate Living Health Facility,Satisfactory,1/31/2024,Merced,1450 E. 27th St.
Mix Bakery,Good,5/15/2024,Merced,1110 W 16th St
Mocha Boba,Good,11/14/2025,Merced,851 W. Olive Ave. Ste 710
"Mor Furniture For Less, Inc.",Good,10/25/2024,Merced,1720 W. Olive Ave.
Mountain Mike's Pizza,Good,1/14/2026,Merced,1348 W Olive Ave.
Mountain Mike's Pizza,Good,1/14/2026,Merced,1950 Yosemite Pkwy Ste J
Mr. Pho,Good,5/23/2024,Merced,3360 N. Hwy 59 Ste D
Mrs. Adams Gourmet Cookies,Good,6/13/2023,Merced,400 Emerald Dr.
"MUHSD, East Campus Ed Center/ Yosemite High (Food & Pool)",Good,5/15/2026,Merced,1900 G St
"MUHSD, El Capitan High School (Food & Pool)",Satisfactory,2/4/2026,Merced,100 W. Farmland Ave.
"MUHSD, Golden Valley High School (Food & Pool)",Good,3/17/2026,Merced,2121 E Childs Ave
"MUHSD, Merced High School North Campus (Food & Pool)",Good,5/12/2026,Merced,205 W. Olive Ave.
New China Cafe,Good,2/19/2026,Merced,1002 W. Main St.
New Hong Kong Restaurant,Good,5/12/2025,Merced,3556 N. G St.
New Thai Cuisine,Good,5/6/2024,Merced,909 W. 16th St.
Noah's Vietnamese Fusion Cuisine,Satisfactory,2/19/2026,Merced,1327 W. 18th St.
Nothing Bundt Cakes,Good,5/18/2026,Merced,3522 G St.
O'Ryleighs Tavern,Satisfactory,3/5/2024,Merced,1730 Canal St.
Off The Wall Smoke Shop,Good,2/25/2026,Merced,1459 Martin Luther King Jr Way #3
Olive & R DBA Mountain Mikes Pizza,Good,5/22/2026,Merced,3630 G St. Ste A
Olive Garden Italian Kitchen,Good,12/5/2023,Merced,721 W. Olive Ave.
Ostioneria Guadalajara,Good,2/6/2026,Merced,1220 W. 16th St.
Oumi Sushi @ Sprouts 461,Good,3/20/2023,Merced,171 E. Yosemite Ave.
Our Lady of Mercy,Good,5/8/2026,Merced,1400 E 27th St
Panaderia Guadalajara #2,Good,6/3/2024,Merced,1339 W. 18th St.
Panaderia Olmos Bakery,Satisfactory,3/25/2024,Merced,47 E. 16th St.
Panda Express #3528,Good,4/9/2025,Merced,165 E. Yosemite Ave.
Panda Express #832,Good,12/2/2025,Merced,1786 Olive Ave. Bldg H
Panera Bread Bakery,Satisfactory,3/12/2024,Merced,3110 R St.
Papa Murphy's,Good,11/15/2022,Merced,220 Yosemite Ave.
PAQ Inc DBA Rancho San Miguel,Good,4/7/2026,Merced,1930 Yosemite Pkwy
PARBIN SHARMA DBA 7-ELEVEN #16673,Good,4/13/2026,Merced,1107 Loughborough Dr.
Parijat Merced LLC (DBA Hampton Inn & Suites by Hilton),Good,9/27/2024,Merced,225 S. Parsons Ave.
Peterson School,Good,5/15/2026,Merced,848 Donna Dr
Pioneer Elementary School,Good,5/12/2026,Merced,2950 E Gerard Ave
Pizza Guys,Satisfactory,3/20/2024,Merced,2800 G St.
Pizza Hut,Satisfactory,11/17/2023,Merced,580 W. Olive Ave.
Plainsburg Elementary School Cafeteria,Good,5/28/2026,Merced,3708 Plainsburg Rd
Popeye's Louisiana Kitchen,Good,1/8/2025,Merced,1445 Martin Luther King Jr. Way
Port of Subs,Satisfactory,6/2/2026,Merced,731 E. Yosemite Ave. Ste E
Pretty Good Burger by Loiter Street Inc,Satisfactory,3/12/2026,Merced,439 W. Main St.
Prime Time Nutrition,Good,2/28/2024,Merced,401 Lesher Dr. Ste. C
Quality Inn,Good,3/21/2024,Merced,730 Motel Dr.
Quickly,Good,11/14/2024,Merced,731 E. Yosemite Ave. Ste G
R Street Chevron,Good,1/15/2025,Merced,1415 R St.
Raley's 309,Good,4/25/2024,Merced,3550 N. G St.
Raley's Store #309 Merced - Starbucks Kiosk,Good,9/3/2025,Merced,3550 N. G St.
Rally's Burger,Good,5/1/2025,Merced,3105 N. Hwy 59
Ravello's / Gateway Gardens,Good,7/2/2025,Merced,560 W. 18th St.
Revive Event Center,Good,12/1/2025,Merced,443 W. 18th St
Richwood Meat Co.,Good,9/13/2022,Merced,2751 N. Santa Fe Dr.
Rivera Elementary & Middle School,Good,3/20/2026,Merced,945 Buena Vista
Rodeway Inn,Good,3/21/2024,Merced,1001 Motel Dr.
Roller Land,Good,5/27/2026,Merced,1445 W 18th St.
Ross Dress For Less #0836,Good,1/22/2024,Merced,1113 W Olive Ave
Royalty Burger,Good,3/12/2026,Merced,1103 Martin Luther King Jr Way
Sahara Coffee House,Good,7/6/2026,Merced,1459 Martin Luther King Jr Way Ste 9
Salvation Army Dining Hall,Good,2/26/2026,Merced,1440 W. 12th St.
Sam Cafe,Good,4/21/2025,Merced,235 W 12th St.
Sangha Nutrition Center kk2208 Inc. DBA GNC,Good,12/5/2025,Merced,717 Merced Mall
Sangha Royal Products,Good,4/24/2025,Merced,7697 S. Combs Road
Sansei,Good,5/14/2026,Merced,705 Merced Mall
Santa Fe Foods,Unsatisfactory,4/28/2026,Merced,1010 W. 16th St.
Save Mart #53,Good,4/14/2026,Merced,150 W. Olive Ave.
Save More Market,Satisfactory,12/20/2023,Merced,2030 G St
Scoops Handcrafted Acai Bowls,Good,11/12/2025,Merced,3090 M St. Ste B
Scotts Diner,Satisfactory,9/12/2024,Merced,2015 E. Childs Ave.
See's Candies - Merced Mall - Space 640,Good,2/19/2026,Merced,713 Merced Mall Spc 640
Shannon Mini Mart,Satisfactory,12/19/2023,Merced,369 S. HWY 59
Sheehy School,Good,3/18/2026,Merced,1240 W 6th St
Shop and Go,Good,2/21/2023,Merced,2272 N. Beachwood Dr.
Shop N Save Market,Good,2/25/2026,Merced,1055 W. Childs Ave
Sizzler #679,Good,12/11/2024,Merced,1334 W. Olive Ave.
Sky Zone,Good,11/14/2023,Merced,1230 W. Main St.
Smart & Final # 385,Satisfactory,5/29/2024,Merced,1425 Martin Luther King Jr Way
Smart Depot Supply,Good,11/9/2023,Merced,863 W. 15th St.
Smash Bros Burger LLC,Satisfactory,2/25/2026,Merced,"1459 Martin Luther King, Jr Way Ste 1"
Smiley's Shell,Good,2/25/2026,Merced,1405 Martin Luther King Jr Way
Smoke Palace,Good,5/15/2024,Merced,1204 W. 16th St.
Sonic Drive-In #4487,Good,9/24/2024,Merced,1101 W. 18th St.
Spices of India,Satisfactory,2/26/2024,Merced,1277 V St. Ste D
Sprouts Farmers Market,Good,2/8/2023,Merced,171 E. Yosemite Ave.
SS Fuel Stores Inc DBA R Street Food Mart (Food),Satisfactory,1/15/2025,Merced,1245 R St.
St. Patrick Church Parish Hall,Good,9/6/2023,Merced,671 E. Yosemite Ave.
